Core Number,Sample Number,"Depth, feet","Permeability, millidarcys to Air","Permeability, millidarcys Klinkenberg","Porosity, percent Ambient","Porosity, percent NCS","Grain Density, gm/cc","Fluid Saturations, percent Water","Fluid Saturations, percent Oil","Fluid Saturations, percent Total",Page Number
1,1-130,9710.7,0.443,0.333,6.3,6.2,2.79,87.8,0.3,88.1,41
1,1-131,9711.5,0.0008,0.0002,6.0,6.0,2.79,86.0,2.8,88.8,41
1,1-132,9712.4,<0.0001,<0.0001,5.4,5.4,2.79,90.5,0.5,91.1,41
1,1-133(F),9713.8,+,+,6.5,,2.78,84.4,0.3,84.7,41
1,1-134(F),9714.3,+,+,6.7,,2.78,89.9,0.5,90.3,41
1,1-135,9715.55,0.05,0.03,5.9,5.9,2.79,88.1,0.6,88.7,41
1,1-136,9716.65,<0.0001,<0.0001,5.9,5.8,2.79,89.9,0.5,90.4,41
1,1-137(F),9717.7,+,+,6.1,,2.79,96.5,0.2,96.7,41
1,1-138,9718.5,0.0018,0.0005,5.5,5.4,2.79,94.0,0.5,94.5,41
1,1-139,9719.6,0.0099,0.0044,5.2,5.2,2.8,96.4,0.2,96.6,41
1,1-140(F),9720.55,+,+,5.2,,2.77,90.7,0.1,90.9,41
1,1-141(f),9721.45,0.153,0.106,5.6,5.6,2.77,98.6,0.2,98.7,41
1,1-142(F),9722.35,+,+,6.2,,2.78,86.0,0.2,86.2,42
1,1-143,9723.45,<0.0001,<0.0001,5.7,5.7,2.78,89.9,0.4,90.3,42
1,1-144(F),9724.65,+,+,6.6,,2.76,95.9,0.1,96.0,42
1,1-145,9725.3,<0.0001,<0.0001,4.9,4.9,2.8,83.6,1.4,85.0,42
1,1-146(f),9726.8,0.075,0.048,6.5,6.5,2.78,94.1,0.2,94.4,42
1,1-147,9727.5,0.001,0.0002,6.6,6.5,2.79,85.7,0.6,86.3,42
